"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 09 15:17:12 GMT 2021","Sat Oct 09 15:17:17 GMT 2021","4514","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Sat Oct 09 15:16:56 GMT 2021","Sat Oct 09 15:17:04 GMT 2021","7672","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
