"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 09 15:28:12 GMT 2021","Sat Oct 09 15:28:16 GMT 2021","4655","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Sat Oct 09 15:27:56 GMT 2021","Sat Oct 09 15:28:03 GMT 2021","7033","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
